drawing_id,metric,pre,post,diff,pct_change
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,slope_1,0.415152,-58.0766,-58.491752,-14089.237676802713
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,2nd quad average median,0.00993455,0.0,-0.00993455,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,X Power,3.58401e-09,4.55556,4.555559996415989,127107904174.82063
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,ratio,-0.082196,32.2203,32.302496000000005,39299.35276655798
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,X Freq,0.882376,83.5857,82.70332400000001,9372.798444200658
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Residue theta-r,0.254774,0.129424,-0.12535,-49.200467865637776
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Up),74.84,0.0,-74.84,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Speed Power,0.00168175,143022.0,143021.99831825,8504355481.983052
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Pressure Freq,3.97791,0.0,-3.97791,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,1st order z cr,12.0104,0.410678,-11.599722,-96.58064677279691
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Y Freq,0.823551,25.3473,24.523749000000002,2977.8057460922278
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Y Power,3.1e-09,8.34966e-06,8.34656e-06,269243.8709677419
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Sampling frequency,120.474,1235.98,1115.506,925.9309062536315
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Speed mean,-0.00577176,2891.69,2891.69577176,50100762.53621079
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Convergency,30.0,0.0,-30.0,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Residue pr-t,0.216878,0.380206,0.163328,75.30869889984231
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,1st order sm,-6.74727,13.6381,20.38537,302.1276753412862
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Ang Sp Power,0.000116417,2.048e-05,-9.593699999999999e-05,-82.40806755027185
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,L hemi-pr,1.23107,0.952285,-0.27878500000000006,-22.645747195529093
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,R-L hemi-pr,0.0816773,0.0801432,-0.0015340999999999966,-1.8782452407217143
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Speed peak,0.547769,15315.6,15315.052231,2795896.122453078
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Residue sp-t,0.0024698,36.6736,36.6711302,1484781.3669123007
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Speed Freq,4.58835,4.82805,0.23970000000000002,5.224100166726601
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,slope_3,-0.0341238,1871.24,1871.2741238,5483780.0121909045
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Up-Lw),9.40737,0.0,-9.40737,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,number of cycles,3.0,0.0,-3.0,-100.0
